month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered
01,2019,Avondale,31,11,0,20,231.17,465.09,12570,5516,3724,1951,395,3.17,0.385605511240029,0.6611315390110255,2.148326173428799,1,1169010,3705761.6999999997,989246.4299999999,0.2669482039279536,60996,0.052177483511689375,0.9802572264506685,0,0,0,0,0,0,0,0
01,2019,Bond Hill,31,11,0,20,231.17,465.09,7174,3182,1642,974,210,3.17,0.16656191074795726,0.8611707186958055,2.209983272930025,1,667182,2114966.94,246497.69999999998,0.11654919769100504,30784,0.04614033352218735,1.023860249908998,0,0,0,0,0,0,0,0
01,2019,California,31,11,0,20,231.17,465.09,976,373,197,71,77,3.17,0,0.9956553542619007,2.62,0.13,90768,287734.56,0,0,500.2400000000001,0.005511193372113522,1.0011665476340141,0,0,0,0,0,0,0,0
01,2019,Camp Washington,31,11,0,20,231.17,465.09,1396,446,230,90,47,3.17,0.3116591928251121,0.8501947443173294,2.36,1,129828,411554.76,64647.51,0.15708118647443173,3562,0.02743630033582894,1.03471223112759,0,0,0,0,0,0,0,0
01,2019,Carthage,31,11,0,20,231.17,465.09,2940,1039,1017,569,245,3.17,0.2685274302213667,0.7982502251174716,2.82,1,273420,866741.4,129760.11,0.14971029421232215,21164,0.07740472533099262,1.0253652446607864,0,0,0,0,0,0,0,0
01,2019,Clifton,31,11,0,20,231.17,465.09,8552,4156,1437,824,202,3.17,0.06328200192492782,0.8672853664619448,2.0589897100093544,0.4,795336,2521215.12,122318.67000000001,0.048515760924042056,10670.4,0.01341621654244244,0.9292173439284293,0,0,0,0,0,0,0,0
01,2019,College Hill,31,11,0,20,231.17,465.09,16403,7201,3858,2424,568,3.17,0.1478961255381197,0.848234994555465,2.259642138633177,1,1525479,4835768.43,495320.85,0.10242857100582875,77792,0.050995130054232146,1.001658695615526,0,0,0,0,0,0,0,0
01,2019,Columbia Tusculum,31,11,0,20,231.17,465.09,1573,741.3396774193549,288.72161290322583,145.62935483870967,42.115806451612904,3.17,0,0.9850607880963806,2.12,0.13,146289,463736.13,0,0,634.5786451612904,0.004337842525147417,0.9893986306215281,0,0,0,0,0,0,0,0
01,2019,Corryville,31,11,0,20,231.17,465.09,3984,1863,206,56,28,3.17,0.0880300590445518,0.7070811543521907,2.071882530120482,1,370512,1174523.04,76274.76,0.06494105045397831,2184,0.005894545925638036,0.777916750731807,0,0,0,0,0,0,0,0
01,2019,CUF,31,11,0,20,231.17,465.09,16974,5547,607,271,122,3.17,0.07066882999819722,0.7571902223251153,2.238798161894662,1,1578582,5004104.9399999995,182315.28,0.03643314482529617,10218,0.006472897828557528,0.800096264978969,0,0,0,0,0,0,0,0
01,2019,Downtown,31,11,0,20,231.17,465.09,3857,2785.980014803849,161.09104367135456,42.3560325684678,9.40118430792006,3.17,0.10599732880535644,0.8943409124341305,1.3550661135597617,1,358701,1137082.17,137344.07202812732,0.12078640897880523,1345.6876387860843,0.003751558090961788,1.0188788795038974,0,0,0,0,0,0,0,0
01,2019,East End,31,11,0,20,231.17,465.09,1601,747,314,157,70,3.17,0.0963855421686747,0.9061271110167556,2.13,1,148893,471990.81,33486.479999999996,0.070947313571635,5902,0.03963920399212858,1.0167136285805192,0,0,0,0,0,0,0,0
01,2019,East Price Hill,31,11,0,20,231.17,465.09,13848,5640,3857,2225,513,3.17,0.32269503546099293,0.787443660994303,2.4111062969381862,1,1287864,4082528.88,846463.7999999999,0.2073381046112771,71188,0.05527602293409863,1.0500577885396787,0,0,0,0,0,0,0,0
01,2019,East Walnut Hills,31,11,0,20,231.17,465.09,3905,2374.6651670951155,354.9685089974293,161.9228791773779,64.96015424164524,3.17,0.0548254807402153,0.9398046942132029,1.62701152368758,1,363165,1151233.05,60551.071407455005,0.05259671046401509,5898.958868894602,0.01624319212725511,1.008644596804473,0,0,0,0,0,0,0,0
01,2019,East Westwood,31,11,0,20,231.17,465.09,2503,1090.543121232713,808.9919767632562,456.43811819522045,169.63801571519184,3.17,0.33312741973008175,0.74496052244973,2.271434278865361,1,232779,737909.4299999999,168962.46056094643,0.22897452409701072,16277.979481670722,0.06992890029457434,1.0438639468413151,0,0,0,0,0,0,0,0
01,2019,English Woods,31,11,0,20,231.17,465.09,474,204.5326968973747,158.82959427207638,87.1073985680191,25.114081145584727,3.17,0.3694690265486726,0.6331795120969427,2.26,1,44082,139739.94,35146.152,0.2515111427699196,2917.7584725536994,0.06618933969769292,0.9508799945645552,0,0,0,0,0,0,0,0
01,2019,Evanston,31,11,0,20,231.17,465.09,8382,3597.7072654290737,1822.8614010348233,1000.7328668759236,406.4947770094157,3.17,0.18805791287811816,0.8339138293209494,2.1589895013123357,0.36,779526,2471097.42,314669.345518364,0.12733991908678532,13171.650746766776,0.0168969999034885,0.9781507483112232,0,0,0,0,0,0,0,0
01,2019,Hartwell,31,11,0,20,231.17,465.09,5397,2651,829,241,190,3.17,0.10562052055827989,0.9163390716745318,1.98,1,501921,1591089.57,130225.19999999998,0.08184655499941464,11206,0.022326222652568832,1.0205118493265153,0,0,0,0,0,0,0,0
01,2019,Hyde Park,31,11,0,20,231.17,465.09,13291,6703,2567,1591,218,3.17,0.01626137550350589,0.9545286940146902,1.971784666315552,0.65,1236063,3918319.71,50694.80999999999,0.012937895259190065,30572.100000000006,0.0247334480524051,0.9922000373262854,0,0,0,0,0,0,0,0
01,2019,Kennedy Heights,31,11,0,20,231.17,465.09,5057,2619,865,427,34,3.17,0.10767468499427263,0.909102726798324,1.92,1,470301,1490854.17,131155.38,0.08797331264130281,11986,0.025485805898775464,1.0225618453384022,0,0,0,0,0,0,0,0
01,2019,Linwood,31,11,0,20,231.17,465.09,687,268,202,127,39,3.17,0.2835820895522388,0.7508719461226344,2.56,1,63891,202534.47,35346.84,0.17452258867342432,4316,0.0675525504374638,0.9929470852335225,0,0,0,0,0,0,0,0
01,2019,Lower Price Hill,31,11,0,20,231.17,465.09,761,249.3715139442231,284.996015936255,83.37649402390439,51.54183266932271,3.17,0.5319148936170213,0.5297077402677616,2.29,1,70773,224350.41,61691.59437250996,0.2749787458490045,3507.876494023905,0.04956518013965643,0.8542516662564225,0,0,0,0,0,0,0,0
01,2019,Madisonville,31,11,0,20,231.17,465.09,10838,5173,2288,1160,273,3.17,0.10806108641020684,0.8747427116556309,2.1310924524820076,1,1007934,3195150.78,259985.30999999997,0.08136871399852998,37258,0.03696472189647338,0.9930761475506342,0,0,0,0,0,0,0,0
01,2019,Millvale,31,11,0,20,231.17,465.09,2150,863.3146461107217,890.4344779257183,502.4702172389629,66.29292221443588,3.17,0.5305410122164049,0.5711313067425566,2.48,1,199950,633841.5,213022.30133146458,0.3360813410473511,14787.84162578837,0.07395769755333018,0.9811703453432379,0,0,0,0,0,0,0,0
01,2019,Mt. Adams,31,11,0,20,231.17,465.09,1629,1030,92,46,26,3.17,0,0.9719854660198584,1.58,0.13,151497,480245.49,0,0,243.35999999999999,0.0016063684429394641,0.9735918344627978,0,0,0,0,0,0,0,0
01,2019,Mt. Airy,31,11,0,20,231.17,465.09,8950,3913.51504818384,2508.398813936249,1501.7774647887325,430.7405485544848,3.17,0.2776781334334773,0.7694442473803557,2.274527374301676,1,832350,2638549.5,505412.1652705708,0.19154924524651548,50245.46834692365,0.0603657936528187,1.0213592862796899,0,0,0,0,0,0,0,0
01,2019,Mt. Auburn,31,11,0,20,231.17,465.09,4641,2132,961,570,133,3.17,0.16604127579737335,0.8442274463475321,2.01,1,431613,1368213.21,164641.85999999996,0.1203334822355647,18278,0.04234812204451673,1.0069090506276135,0,0,0,0,0,0,0,0
01,2019,Mt. Lookout,31,11,0,20,231.17,465.09,4996,2118.6603225806452,1233.2783870967742,701.3706451612903,159.8841935483871,3.17,0,0.9722361007336349,2.3699679743795037,0.13,464628,1472870.76,0,0,2911.04135483871,0.006265316241893967,0.9785014169755288,0,0,0,0,0,0,0,0
01,2019,Mt. Washington,31,11,0,20,231.17,465.09,12297,5492.241855799697,3154.5783304176066,1700.5546328259147,391.2559107458913,3.17,0.16094788735060636,0.8925560941004734,2.225589981296251,0.45,1143621,3625278.57,411123.1532570495,0.11340456886794482,24474.183359790135,0.021400606809240243,1.0273612697776586,0,0,0,0,0,0,0,0
01,2019,North Avondale - Paddock Hills,31,11,0,20,231.17,465.09,4236,1513.6275674758106,606.1700899677475,288.34425394669836,103.54506874893906,3.17,0.20760095011876484,0.8528371305477184,2,1,393948,1248815.16,146145.47307418095,0.11702730536533602,10189.122390086573,0.02586413026614318,0.9957285661791976,0,0,0,0,0,0,0,0
01,2019,North Fairmount,31,11,0,20,231.17,465.09,1621.0000000000002,699.4673031026254,543.1704057279237,297.89260143198095,85.88591885441528,3.17,0.36946902654867253,0.6331795120969428,2.26,1,150753.00000000003,477887.01000000007,120193.90799999998,0.25151114276991954,9978.2415274463,0.0661893396976929,0.9508799945645552,0,0,0,0,0,0,0,0
01,2019,Northside,31,11,0,20,231.17,465.09,7865,3918,1410,678,239,3.17,0.16436957631444615,0.8867734901430023,2.006624284806103,1,731445,2318680.65,299517.95999999996,0.12917602948038573,23842,0.03259575224384609,1.0485452718672341,0,0,0,0,0,0,0,0
