month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,population_white,population_hispanic_latino,population_black,population_race_denominator,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered
01,2019,Avondale,31,11,0,20,231.17,465.09,12570,5516,3724,1951,395,3.17,0.385605511240029,0.6611315390110255,2.148326173428799,1336,1061,9660,12570,1,1169010,3705761.6999999997,989246.4299999999,0.2669482039279536,60996,0.052177483511689375,0.9802572264506685,0,0,0,0,0,0,0,0
01,2019,Bond Hill,31,11,0,20,231.17,465.09,7174,3182,1642,974,210,3.17,0.16656191074795726,0.8611707186958055,2.209983272930025,384,41,6572,7174,1,667182,2114966.94,246497.69999999998,0.11654919769100504,30784,0.04614033352218735,1.023860249908998,0,0,0,0,0,0,0,0
01,2019,California,31,11,0,20,231.17,465.09,976,373,197,71,77,3.17,0,0.9956553542619007,2.62,920,15,8,976,0.13,90768,287734.56,0,0,500.2400000000001,0.005511193372113522,1.0011665476340141,0,0,0,0,0,0,0,0
01,2019,Camp Washington,31,11,0,20,231.17,465.09,1396,446,230,90,47,3.17,0.3116591928251121,0.8501947443173294,2.36,950,32,356,1396,1,129828,411554.76,64647.51,0.15708118647443173,3562,0.02743630033582894,1.03471223112759,0,0,0,0,0,0,0,0
01,2019,Carthage,31,11,0,20,231.17,465.09,2940,1039,1017,569,245,3.17,0.2685274302213667,0.7982502251174716,2.82,1346,873,681,2940,1,273420,866741.4,129760.11,0.14971029421232215,21164,0.07740472533099262,1.0253652446607864,0,0,0,0,0,0,0,0
01,2019,Clifton,31,11,0,20,231.17,465.09,8552,4156,1437,824,202,3.17,0.06328200192492782,0.8672853664619448,2.0589897100093544,5632,444,1348,8552,0.4,795336,2521215.12,122318.67000000001,0.048515760924042056,10670.4,0.01341621654244244,0.9292173439284293,0,0,0,0,0,0,0,0
01,2019,College Hill,31,11,0,20,231.17,465.09,16403,7201,3858,2424,568,3.17,0.1478961255381197,0.848234994555465,2.259642138633177,5307,265,10122,16403,1,1525479,4835768.43,495320.85,0.10242857100582875,77792,0.050995130054232146,1.001658695615526,0,0,0,0,0,0,0,0
01,2019,Columbia Tusculum,31,11,0,20,231.17,465.09,1573,741.3396774193549,288.72161290322583,145.62935483870967,42.115806451612904,3.17,0,0.9850607880963806,2.12,1477.097741935484,25.370967741935484,19.281935483870967,1573,0.13,146289,463736.13,0,0,634.5786451612904,0.004337842525147417,0.9893986306215281,0,0,0,0,0,0,0,0
01,2019,Corryville,31,11,0,20,231.17,465.09,3984,1863,206,56,28,3.17,0.0880300590445518,0.7070811543521907,2.071882530120482,2576,11,738,3984,1,370512,1174523.04,76274.76,0.06494105045397831,2184,0.005894545925638036,0.777916750731807,0,0,0,0,0,0,0,0
01,2019,CUF,31,11,0,20,231.17,465.09,16974,5547,607,271,122,3.17,0.07066882999819722,0.7571902223251153,2.238798161894662,12627,654,1782,16974,1,1578582,5004104.9399999995,182315.28,0.03643314482529617,10218,0.006472897828557528,0.800096264978969,0,0,0,0,0,0,0,0
01,2019,Downtown,31,11,0,20,231.17,465.09,3857,2785.980014803849,161.09104367135456,42.3560325684678,9.40118430792006,3.17,0.10599732880535644,0.8943409124341305,1.3550661135597617,2614.6728349370837,56.24870466321243,815.4951887490747,3857,1,358701,1137082.17,137344.07202812732,0.12078640897880523,1345.6876387860843,0.003751558090961788,1.0188788795038974,0,0,0,0,0,0,0,0
01,2019,East End,31,11,0,20,231.17,465.09,1601,747,314,157,70,3.17,0.0963855421686747,0.9061271110167556,2.13,1368,27,61,1601,1,148893,471990.81,33486.479999999996,0.070947313571635,5902,0.03963920399212858,1.0167136285805192,0,0,0,0,0,0,0,0
01,2019,East Price Hill,31,11,0,20,231.17,465.09,13848,5640,3857,2225,513,3.17,0.32269503546099293,0.787443660994303,2.4111062969381862,6022,1523,5050,13848,1,1287864,4082528.88,846463.7999999999,0.2073381046112771,71188,0.05527602293409863,1.0500577885396787,0,0,0,0,0,0,0,0
01,2019,East Walnut Hills,31,11,0,20,231.17,465.09,3905,2374.6651670951155,354.9685089974293,161.9228791773779,64.96015424164524,3.17,0.0548254807402153,0.9398046942132029,1.62701152368758,2734.929305912596,89.17609254498714,888.7345758354755,3905,1,363165,1151233.05,60551.071407455005,0.05259671046401509,5898.958868894602,0.01624319212725511,1.008644596804473,0,0,0,0,0,0,0,0
01,2019,East Westwood,31,11,0,20,231.17,465.09,2503,1090.543121232713,808.9919767632562,456.43811819522045,169.63801571519184,3.17,0.33312741973008175,0.74496052244973,2.271434278865361,397.0239546694788,16.33186488947307,1931.6655806998228,2503,1,232779,737909.4299999999,168962.46056094643,0.22897452409701072,16277.979481670722,0.06992890029457434,1.0438639468413151,0,0,0,0,0,0,0,0
01,2019,English Woods,31,11,0,20,231.17,465.09,474,204.5326968973747,158.82959427207638,87.1073985680191,25.114081145584727,3.17,0.3694690265486726,0.6331795120969427,2.26,66.9708830548926,12.896420047732695,370.8286396181384,474,1,44082,139739.94,35146.152,0.2515111427699196,2917.7584725536994,0.06618933969769292,0.9508799945645552,0,0,0,0,0,0,0,0
