month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,charitable_percent_covered
01,2019,Downtown,31,11,0,20,216.82,430.99,3857,2785.980014803849,161.09104367135456,42.3560325684678,9.40118430792006,3.17,0.10599732880535644,0.8943409124341305,1.3550661135597617,1,358701,1137082.17,127274.12243523318,0.11193045304301376,1345.6876387860843,0.003751558090961788,1.010022923568106,0,0,0,0,0,0,0
01,2019,East End,31,11,0,20,216.82,430.99,1601,747,314,157,70,3.17,0.0963855421686747,0.9061271110167556,2.13,1,148893,471990.81,31031.280000000002,0.06574551737564552,5902,0.03963920399212858,1.0115118323845296,0,0,0,0,0,0,0
01,2019,East Price Hill,31,11,0,20,216.82,430.99,13848,5640,3857,2225,513,3.17,0.32269503546099293,0.787443660994303,2.4111062969381862,1,1287864,4082528.88,784401.8,0.19213625256706085,71188,0.05527602293409863,1.0348559364954626,0,0,0,0,0,0,0
01,2019,East Walnut Hills,31,11,0,20,216.82,430.99,3905,2374.6651670951155,354.9685089974293,161.9228791773779,64.96015424164524,3.17,0.0548254807402153,0.9398046942132029,1.62701152368758,1,363165,1151233.05,56111.51877249357,0.04874036475281314,5898.958868894602,0.01624319212725511,1.004788251093271,0,0,0,0,0,0,0
01,2019,East Westwood,31,11,0,20,216.82,430.99,2503,1090.543121232713,808.9919767632562,456.43811819522045,169.63801571519184,3.17,0.33312741973008175,0.74496052244973,2.271434278865361,1,232779,737909.4299999999,156574.2778325965,0.2121863083286475,16277.979481670722,0.06992890029457434,1.027075731072952,0,0,0,0,0,0,0
01,2019,English Woods,31,11,0,20,216.82,430.99,474,204.5326968973747,158.82959427207638,87.1073985680191,25.114081145584727,3.17,0.3694690265486726,0.6331795120969427,2.26,1,44082,139739.94,32569.266272076376,0.23307056144489813,2917.7584725536994,0.06618933969769292,0.9324394132395337,0,0,0,0,0,0,0
01,2019,Evanston,31,11,0,20,216.82,430.99,8382,3597.7072654290737,1822.8614010348233,1000.7328668759236,406.4947770094157,3.17,0.18805791287811816,0.8339138293209494,2.1589895013123357,0.36,779526,2471097.42,291598.0589239926,0.11800346540930493,13171.650746766776,0.0168969999034885,0.9688142946337428,0,0,0,0,0,0,0
01,2019,Hartwell,31,11,0,20,216.82,430.99,5397,2651,829,241,190,3.17,0.10562052055827989,0.9163390716745318,1.98,1,501921,1591089.57,120677.2,0.07584563576769597,11206,0.022326222652568832,1.0145109300947965,0,0,0,0,0,0,0
01,2019,Hyde Park,31,11,0,20,216.82,430.99,13291,6703,2567,1591,218,3.17,0.01626137550350589,0.9545286940146902,1.971784666315552,0.65,1236063,3918319.71,46977.909999999996,0.011989299872623206,30572.100000000006,0.0247334480524051,0.9912514419397185,0,0,0,0,0,0,0
01,2019,Kennedy Heights,31,11,0,20,216.82,430.99,5057,2619,865,427,34,3.17,0.10767468499427263,0.909102726798324,1.92,1,470301,1490854.17,121539.18000000001,0.08152318479278226,11986,0.025485805898775464,1.0161117174898817,0,0,0,0,0,0,0
